Name,Set,Rarity,RarityWeight,MarketPrice,CurrentPrice,ListingCount,ProductURL,ImageURL
"SV03: Obsidian FlamesSpecial Illustration Rare, #223/197Charizard ex - 223/19774 listings from $74.99Market Price:$126.93","Obsidian Flames","",null,"126.93","74.99","19774","https://www.tcgplayer.com/product/509980/pokemon-sv03-obsidian-flames-charizard-ex-223-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV06: Twilight MasqueradeTwilight Masquerade Elite Trainer Box129 listings from $69.99Market Price:$69.87","Twilight Masquerade","",null,"69.87","69.99","129","https://www.tcgplayer.com/product/543845/pokemon-sv06-twilight-masquerade-twilight-masquerade-elite-trainer-box?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesHyper Rare, #228/197Charizard ex - 228/197106 listings from $19.00Market Price:$25.93","Obsidian Flames","",null,"25.93","19","197106","https://www.tcgplayer.com/product/509989/pokemon-sv03-obsidian-flames-charizard-ex-228-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesIllustration Rare, #199/197Ninetales -199/197123 listings from $12.02Market Price:$25.45","Obsidian Flames","",null,"25.45","12.02","197123","https://www.tcgplayer.com/product/509945/pokemon-sv03-obsidian-flames-ninetales-199-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesIllustration Rare, #202/197Cleffa - 202/197135 listings from $13.88Market Price:$17.31","Obsidian Flames","",null,"17.31","13.88","197135","https://www.tcgplayer.com/product/509949/pokemon-sv03-obsidian-flames-cleffa-202-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Shrouded FableDouble Rare, #038/064Fezandipiti ex - 038/064176 listings from $15.75Market Price:$17.19","Shrouded Fable","",null,"17.19","15.75","64176","https://www.tcgplayer.com/product/560348/pokemon-sv-shrouded-fable-fezandipiti-ex-038-064?page=1","https://tcgplayer-cdn.tcgplayer.com/product/560348_in_200x200.jpg"
"SV06: Twilight MasqueradeACE SPEC Rare, #163/167Secret Box153 listings from $15.00Market Price:$16.31","Twilight Masquerade","",null,"16.31","15","153","https://www.tcgplayer.com/product/550207/pokemon-sv06-twilight-masquerade-secret-box?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Scarlet & Violet Promo CardsPromo, #208Victini - 20879 listings from $15.00Market Price:$15.88","All Pokemon Products","",null,"15.88","15","20879","https://www.tcgplayer.com/product/646169/pokemon-sv-scarlet-and-violet-promo-cards-victini-208?page=1","https://tcgplayer-cdn.tcgplayer.com/product/646169_in_200x200.jpg"
"SV: Paldean FatesPaldean Fates Booster Pack38 listings from $15.72Market Price:$15.84","SV: Paldean Fates","",null,"15.84","15.72","38","https://www.tcgplayer.com/product/528038/pokemon-sv-paldean-fates-paldean-fates-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesSpecial Illustration Rare, #225/197Pidgeot ex - 225/197177 listings from $10.22Market Price:$13.62","Obsidian Flames","",null,"13.62","10.22","197177","https://www.tcgplayer.com/product/509983/pokemon-sv03-obsidian-flames-pidgeot-ex-225-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV04: Paradox RiftDouble Rare, #139/182Gholdengo ex - 139/18273 listings from $12.51Market Price:$12.82","Paradox Rift","",null,"12.82","12.51","18273","https://www.tcgplayer.com/product/523818/pokemon-sv04-paradox-rift-gholdengo-ex-139-182?page=1","https://tcgplayer-cdn.tcgplayer.com/product/523818_in_200x200.jpg"
"SV: Scarlet & Violet 151151 Booster Pack53 listings from $3.57Market Price:$12.82","All Pokemon Products","",null,"12.82","3.57","53","https://www.tcgplayer.com/product/504467/pokemon-sv-scarlet-and-violet-151-151-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV05: Temporal ForcesACE SPEC Rare, #162/162Neo Upper Energy69 listings from $12.00Market Price:$12.66","Temporal Forces","",null,"12.66","12","69","https://www.tcgplayer.com/product/542682/pokemon-sv05-temporal-forces-neo-upper-energy?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesIllustration Rare, #198/197Gloom - 198/197142 listings from $7.85Market Price:$11.52","Obsidian Flames","",null,"11.52","7.85","197142","https://www.tcgplayer.com/product/509944/pokemon-sv03-obsidian-flames-gloom-198-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesIllustration Rare, #205/197Scizor - 205/197251 listings from $4.99Market Price:$10.13","Obsidian Flames","",null,"10.13","4.99","197251","https://www.tcgplayer.com/product/509952/pokemon-sv03-obsidian-flames-scizor-205-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Prismatic EvolutionsPrismatic Evolutions Booster Pack125 listings from $6.99Market Price:$9.51","All Pokemon Products","",null,"9.51","6.99","125","https://www.tcgplayer.com/product/593294/pokemon-sv-prismatic-evolutions-prismatic-evolutions-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV06: Twilight MasqueradeTwilight Masquerade Booster Pack43 listings from $1.76Market Price:$6.97","Twilight Masquerade","",null,"6.97","1.76","43","https://www.tcgplayer.com/product/543843/pokemon-sv06-twilight-masquerade-twilight-masquerade-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"CelebrationsHolo Rare, #005/025Pikachu313 listings from $3.15Market Price:$6.75","All Pokemon Products","",null,"6.75","3.15","313","https://www.tcgplayer.com/product/250303/pokemon-celebrations-pikachu?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesObsidian Flames Booster Pack57 listings from $2.29Market Price:$6.75","Obsidian Flames","",null,"6.75","2.29","57","https://www.tcgplayer.com/product/501256/pokemon-sv03-obsidian-flames-obsidian-flames-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV07: Stellar CrownStellar Crown Booster Pack60 listings from $2.19Market Price:$6.48","Stellar Crown","",null,"6.48","2.19","60","https://www.tcgplayer.com/product/557331/pokemon-sv07-stellar-crown-stellar-crown-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV05: Temporal ForcesTemporal Forces Booster Pack67 listings from $2.48Market Price:$6.21","Temporal Forces","",null,"6.21","2.48","67","https://www.tcgplayer.com/product/532841/pokemon-sv05-temporal-forces-temporal-forces-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesIllustration Rare, #208/197Pidgeotto - 208/197230 listings from $4.75Market Price:$5.96","Obsidian Flames","",null,"5.96","4.75","197230","https://www.tcgplayer.com/product/509956/pokemon-sv03-obsidian-flames-pidgeotto-208-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV04: Paradox RiftParadox Rift Booster Pack64 listings from $5.75Market Price:$5.84","Paradox Rift","",null,"5.84","5.75","64","https://www.tcgplayer.com/product/512822/pokemon-sv04-paradox-rift-paradox-rift-booster-pack?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesDouble Rare, #125/197Charizard ex - 125/197153 listings from $2.89Market Price:$4.62","Obsidian Flames","",null,"4.62","2.89","197153","https://www.tcgplayer.com/product/509879/pokemon-sv03-obsidian-flames-charizard-ex-125-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV07: Stellar CrownIllustration Rare, #147/142Raboot - 147/142349 listings from $3.99Market Price:$4.17","Stellar Crown","",null,"4.17","3.99","142349","https://www.tcgplayer.com/product/567427/pokemon-sv07-stellar-crown-raboot-147-142?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV05: Temporal ForcesACE SPEC Rare, #152/162Hero's Cape411 listings from $3.00Market Price:$3.96","Temporal Forces","",null,"3.96","3","411","https://www.tcgplayer.com/product/542667/pokemon-sv05-temporal-forces-heros-cape?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesHyper Rare, #230/197Basic Fire Energy - 230/197160 listings from $4.27Market Price:$3.72","Obsidian Flames","",null,"3.72","4.27","197160","https://www.tcgplayer.com/product/509992/pokemon-sv03-obsidian-flames-basic-fire-energy-230-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian FlamesUncommon, #186/197Arven396 listings from $3.69Market Price:$3.62","Obsidian Flames","",null,"3.62","3.69","396","https://www.tcgplayer.com/product/509778/pokemon-sv03-obsidian-flames-arven?page=1","https://tcgplayer-cdn.tcgplayer.com/product/509778_in_200x200.jpg"
"CelebrationsHolo Rare, #011/025Mew218 listings from $1.74Market Price:$3.49","All Pokemon Products","",null,"3.49","1.74","218","https://www.tcgplayer.com/product/250309/pokemon-celebrations-mew?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Paldean FatesDouble Rare, #054/091Charizard ex - 054/091222 listings from $2.50Market Price:$3.34","SV: Paldean Fates","",null,"3.34","2.5","91222","https://www.tcgplayer.com/product/534416/pokemon-sv-paldean-fates-charizard-ex-054-091?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV05: Temporal ForcesDouble Rare, #104/162Gengar ex - 104/162179 listings from $3.28Market Price:$3.26","Temporal Forces","",null,"3.26","3.28","162179","https://www.tcgplayer.com/product/542848/pokemon-sv05-temporal-forces-gengar-ex-104-162?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV05: Temporal ForcesDouble Rare, #123/162Raging Bolt ex - 123/162404 listings from $2.38Market Price:$3.17","Temporal Forces","",null,"3.17","2.38","162404","https://www.tcgplayer.com/product/542867/pokemon-sv05-temporal-forces-raging-bolt-ex-123-162?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"McDonald's Promos 2023Promo, #006/015Pikachu145 listings from $1.30Market Price:$3.08","McDonald's Promos 2023","",null,"3.08","1.3","145","https://www.tcgplayer.com/product/516517/pokemon-mcdonalds-promos-2023-pikachu?page=1","https://tcgplayer-cdn.tcgplayer.com/product/516517_in_200x200.jpg"
"SV: Shrouded FableUncommon, #061/064Night Stretcher730 listings from $3.00Market Price:$3.05","Shrouded Fable","",null,"3.05","3","730","https://www.tcgplayer.com/product/560372/pokemon-sv-shrouded-fable-night-stretcher?page=1","https://tcgplayer-cdn.tcgplayer.com/product/560372_in_200x200.jpg"
"SV03: Obsidian FlamesIllustration Rare, #201/197Bellibolt - 201/197302 listings from $2.99Market Price:$2.98","Obsidian Flames","",null,"2.98","2.99","197302","https://www.tcgplayer.com/product/509948/pokemon-sv03-obsidian-flames-bellibolt-201-197?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"McDonald's Promos 2023McDonald's 2023 Match & Battle Pack17 listings from $2.75Market Price:$2.70","McDonald's Promos 2023","",null,"2.7","2.75","17","https://www.tcgplayer.com/product/516527/pokemon-mcdonalds-promos-2023-mcdonalds-2023-match-and-battle-pack?page=1","https://tcgplayer-cdn.tcgplayer.com/product/516527_in_200x200.jpg"
"SV03: Obsidian FlamesDouble Rare, #164/197Pidgeot ex398 listings from $2.00Market Price:$2.54","Obsidian Flames","",null,"2.54","2","398","https://www.tcgplayer.com/product/509670/pokemon-sv03-obsidian-flames-pidgeot-ex?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV01: Scarlet & Violet Base SetUncommon, #166/198Arven - 166/198592 listings from $2.00Market Price:$2.38","All Pokemon Products","",null,"2.38","2","198592","https://www.tcgplayer.com/product/488071/pokemon-sv01-scarlet-and-violet-base-set-arven-166-198?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: White FlareUncommon, #084/086Hilda464 listings from $2.25Market Price:$2.30","All Pokemon Products","",null,"2.3","2.25","464","https://www.tcgplayer.com/product/642200/pokemon-sv-white-flare-hilda?page=1","https://tcgplayer-cdn.tcgplayer.com/product/642200_in_200x200.jpg"
"McDonald's Promos 2023Promo, #015/015Kirlia39 listings from $1.35Market Price:$2.17","McDonald's Promos 2023","",null,"2.17","1.35","39","https://www.tcgplayer.com/product/516526/pokemon-mcdonalds-promos-2023-kirlia?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV06: Twilight MasqueradeDouble Rare, #141/167Bloodmoon Ursaluna ex - 141/167315 listings from $2.27Market Price:$2.06","Twilight Masquerade","",null,"2.06","2.27","167315","https://www.tcgplayer.com/product/550185/pokemon-sv06-twilight-masquerade-bloodmoon-ursaluna-ex-141-167?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Paldean FatesIllustration Rare, #225/091Palafin - 225/091398 listings from $1.36Market Price:$1.91","SV: Paldean Fates","",null,"1.91","1.36","91398","https://www.tcgplayer.com/product/534736/pokemon-sv-paldean-fates-palafin-225-091?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV06: Twilight MasqueradeDouble Rare, #025/167Teal Mask Ogerpon ex - 025/167547 listings from $1.76Market Price:$1.75","Twilight Masquerade","",null,"1.75","1.76","167547","https://www.tcgplayer.com/product/550069/pokemon-sv06-twilight-masquerade-teal-mask-ogerpon-ex-025-167?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV04: Paradox RiftDouble Rare, #058/182Mewtwo ex380 listings from $1.64Market Price:$1.70","Paradox Rift","",null,"1.7","1.64","380","https://www.tcgplayer.com/product/523670/pokemon-sv04-paradox-rift-mewtwo-ex?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV04: Paradox RiftUncommon, #160/182Counter Catcher747 listings from $1.60Market Price:$1.68","Paradox Rift","",null,"1.68","1.6","747","https://www.tcgplayer.com/product/523841/pokemon-sv04-paradox-rift-counter-catcher?page=1","https://tcgplayer-cdn.tcgplayer.com/product/523841_in_200x200.jpg"
"McDonald's Promos 2023Promo, #001/015Sprigatito121 listings from $0.75Market Price:$1.64","McDonald's Promos 2023","",null,"1.64","0.75","121","https://www.tcgplayer.com/product/516512/pokemon-mcdonalds-promos-2023-sprigatito?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV06: Twilight MasqueradeDouble Rare, #130/167Dragapult ex - 130/167552 listings from $1.54Market Price:$1.56","Twilight Masquerade","",null,"1.56","1.54","167552","https://www.tcgplayer.com/product/550174/pokemon-sv06-twilight-masquerade-dragapult-ex-130-167?page=1","https://tcgplayer-cdn.tcgplayer.com/product/550174_in_200x200.jpg"
"SV: Paldean FatesIllustration Rare, #224/091Wugtrio - 224/091491 listings from $1.25Market Price:$1.49","SV: Paldean Fates","",null,"1.49","1.25","91491","https://www.tcgplayer.com/product/534731/pokemon-sv-paldean-fates-wugtrio-224-091?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Paldean FatesIllustration Rare, #226/091Pawmi - 226/091535 listings from $1.35Market Price:$1.45","SV: Paldean Fates","",null,"1.45","1.35","91535","https://www.tcgplayer.com/product/534739/pokemon-sv-paldean-fates-pawmi-226-091?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV05: Temporal ForcesACE SPEC Rare, #154/162Maximum Belt533 listings from $1.02Market Price:$1.30","Temporal Forces","",null,"1.3","1.02","533","https://www.tcgplayer.com/product/542670/pokemon-sv05-temporal-forces-maximum-belt?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV07: Stellar CrownDouble Rare, #030/142Blastoise ex405 listings from $1.41Market Price:$1.25","Stellar Crown","",null,"1.25","1.41","405","https://www.tcgplayer.com/product/567256/pokemon-sv07-stellar-crown-blastoise-ex?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV05: Temporal ForcesACE SPEC Rare, #153/162Master Ball512 listings from $0.49Market Price:$1.23","Temporal Forces","",null,"1.23","0.49","512","https://www.tcgplayer.com/product/542668/pokemon-sv05-temporal-forces-master-ball?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"McDonald's Promos 2023Promo, #002/015Fuecoco134 listings from $0.63Market Price:$1.13","McDonald's Promos 2023","",null,"1.13","0.63","134","https://www.tcgplayer.com/product/516513/pokemon-mcdonalds-promos-2023-fuecoco?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV07: Stellar CrownDouble Rare, #032/142Lapras ex - 032/142528 listings from $0.58Market Price:$1.13","Stellar Crown","",null,"1.13","0.58","142528","https://www.tcgplayer.com/product/567258/pokemon-sv07-stellar-crown-lapras-ex-032-142?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Paldean FatesCommon, #050/091Barboach594 listings from $0.50Market Price:$1.09","SV: Paldean Fates","",null,"1.09","0.5","594","https://www.tcgplayer.com/product/534211/pokemon-sv-paldean-fates-barboach?page=1","https://tcgplayer-cdn.tcgplayer.com/product/534211_in_200x200.jpg"
"SV02: Paldea EvolvedUncommon, #191/193Luminous Energy403 listings from $0.66Market Price:$1.08","All Pokemon Products","",null,"1.08","0.66","403","https://www.tcgplayer.com/product/497564/pokemon-sv02-paldea-evolved-luminous-energy?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV06: Twilight MasqueradeACE SPEC Rare, #167/167Legacy Energy525 listings from $0.78Market Price:$1.07","Twilight Masquerade","",null,"1.07","0.78","525","https://www.tcgplayer.com/product/550211/pokemon-sv06-twilight-masquerade-legacy-energy?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Black BoltUncommon, #079/086Air Balloon569 listings from $0.74Market Price:$1.02","All Pokemon Products","",null,"1.02","0.74","569","https://www.tcgplayer.com/product/642531/pokemon-sv-black-bolt-air-balloon?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"McDonald's Promos 2023Promo, #003/015Quaxly153 listings from $0.63Market Price:$0.99","McDonald's Promos 2023","",null,"0.99","0.63","153","https://www.tcgplayer.com/product/516514/pokemon-mcdonalds-promos-2023-quaxly?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV07: Stellar CrownDouble Rare, #001/142Venusaur ex529 listings from $0.97Market Price:$0.97","Stellar Crown","",null,"0.97","0.97","529","https://www.tcgplayer.com/product/567227/pokemon-sv07-stellar-crown-venusaur-ex?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV07: Stellar CrownDouble Rare, #128/142Terapagos ex - 128/142698 listings from $1.00Market Price:$0.96","Stellar Crown","",null,"0.96","1","142698","https://www.tcgplayer.com/product/567376/pokemon-sv07-stellar-crown-terapagos-ex-128-142?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV06: Twilight MasqueradeDouble Rare, #106/167Greninja ex - 106/167599 listings from $0.99Market Price:$0.89","Twilight Masquerade","",null,"0.89","0.99","167599","https://www.tcgplayer.com/product/550150/pokemon-sv06-twilight-masquerade-greninja-ex-106-167?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV05: Temporal ForcesDouble Rare, #025/162Iron Leaves ex - 025/162621 listings from $0.75Market Price:$0.89","Temporal Forces","",null,"0.89","0.75","162621","https://www.tcgplayer.com/product/542769/pokemon-sv05-temporal-forces-iron-leaves-ex-025-162?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Paldean FatesDouble Rare, #029/091Gardevoir ex - 029/091536 listings from $0.79Market Price:$0.88","SV: Paldean Fates","",null,"0.88","0.79","91536","https://www.tcgplayer.com/product/534175/pokemon-sv-paldean-fates-gardevoir-ex-029-091?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV07: Stellar CrownDouble Rare, #041/142Greninja ex604 listings from $0.84Market Price:$0.87","Stellar Crown","",null,"0.87","0.84","604","https://www.tcgplayer.com/product/567267/pokemon-sv07-stellar-crown-greninja-ex?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV04: Paradox RiftDouble Rare, #155/182Maushold ex525 listings from $0.50Market Price:$0.87","Paradox Rift","",null,"0.87","0.5","525","https://www.tcgplayer.com/product/523836/pokemon-sv04-paradox-rift-maushold-ex?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV06: Twilight MasqueradeRare, #095/167Munkidori538 listings from $0.88Market Price:$0.85","Twilight Masquerade","",null,"0.85","0.88","538","https://www.tcgplayer.com/product/550139/pokemon-sv06-twilight-masquerade-munkidori?page=1","https://tcgplayer-cdn.tcgplayer.com/product/550139_in_200x200.jpg"
